"Page","Section","Section Description"
"","CTA Section","Encourage visitors to explore products or contact the team."
"","Footer",""
"Contact","Navbar",""
"","Header Section","Contact page title and welcoming copy encouraging visitors to reach out."
"","Contact Section","Overview of ways to connect: email support, WhatsApp, phone."
"","Contact Form Section","Simple form for inquiries (Name, Email, Message)."
"","Locations Section","Map and physical address details."
"","Feature Section","WhatsApp quick-link for instant support."
"","Footer",""
"FAQs","Navbar",""
"","Header Section","Page introduction and reassurance; ""Frequently Asked Questions – Find quick answers and support."""
"","FAQ Section","Comprehensive, categorized list of frequently asked questions and answers (Shipping, Orders, Authenticity, Gifting, Returns, etc.)."
"","Testimonial Section","Customer testimonials or social proof reinforcing trust and satisfaction."
"","CTA Section","Prompt for further help, linking to Contact page or live chat: ""Still need help? Get in touch with our team."""
"","Footer",""
"Reviews","Navbar",""
"","Header Section","Page introduction emphasizing real customer experiences and commitment to authenticity."
"","Reviews Section","Comprehensive compilation of customer reviews, including ratings, testimonials, and featured feedback."
"","Feature Section","Highlighted review stories or video testimonials for deeper social proof."
"","Features List Section","Showcase of top-rated products with summary snippets from recent reviews."
"","CTA Section","Call-to-action inviting visitors to share their own review or browse best-sellers."
"","Footer",""
"Shipping Policy","Navbar",""
"","Header Section","Clear page title with brief introduction to the shipping policy."
"","Legal Page Body Section","Comprehensive details covering shipping methods, regions served, delivery timelines, shipping charges, next-day delivery promise, order tracking, handling of delays, packaging standards, and contact information for shipping support."
"","Footer",""
"Return Policy","Navbar",""
"","Header Section","Return Policy main title and brief introductory statement."
"","Legal Page Body Section","Comprehensive policy details including eligibility, return/exchange process, timeframes, required condition, exclusions, how to initiate a return, shipping & refund procedures, and customer support contact information."
"","Footer",""
"Privacy Policy","Navbar",""
"","Legal Page Body Section","Comprehensive privacy policy covering data collection, use, cookies, third-party sharing, user rights, security measures, policy updates, and contact details for privacy-related inquiries."
"","Footer",""
"Terms & Conditions","Navbar",""
"","Header Section","Page title and brief introduction to the terms & conditions governing use of the website and services."
"","Legal Page Body Section","Comprehensive terms and conditions covering user agreement, website usage, purchase policies, disclaimers, intellectual property, limitations of liability, changes to terms, and contact information for further inquiries."
"","Footer",""
